Seq,Group,Type,SKU,2021 MAPP,2021 List
1,ANC,BEAM,7530,$174.00 ,$217.50 
2,ANC,BEAM,7531,$168.40 ,$210.50 
3,ANC,BEAM,7533,$187.20 ,$234.00 
4,ANC,BEAM,7534,$204.40 ,$255.50 
5,ANC,BEAM,7535,$204.40 ,$255.50 
6,ANC,BEAM,7538,$191.20 ,$239.00 
7,ANC,BEAM,7712,$441.20 ,$551.50 
8,ANC,CARA,8445,$24.40 ,$30.50 
9,ANC,CARA,8447,$44.40 ,$55.50 
10,ANC,CARA,8450,$26.00 ,$32.50 
11,ANC,CARA,8447A,$67.20 ,$84.00 
12,ANC,CARA,8466A,$36.00 ,$45.00 
13,ANC,CONC,7436,$7.60 ,$9.50 
14,ANC,CONC,7440,$114.40 ,$143.00 
15,ANC,CONC,7441,$221.60 ,$277.00 
16,ANC,CONC,7442,$136.00 ,$170.00 
17,ANC,CONC,7448,$8.40 ,$10.50 
18,ANC,CONC,7472,$10.00 ,$12.50 
19,ANC,CONC,7448L,$6.80 ,$8.50 
20,ANC,CONC,7451A,$46.00 ,$57.50 
21,ANC,CONC,7451AC,$38.40 ,$48.00 
22,ANC,CONC,7451C,$85.20 ,$106.50 
23,ANC,PT,7336,$27.20 ,$34.00 
24,ANC,PT,7348,$29.20 ,$36.50 
25,ANC,PT,7372,$30.80 ,$38.50 
26,ANC,PT,737210,$36.40 ,$45.50 
27,ANC,ROOF,7410,$26.40 ,$33.00 
28,ANC,ROOF,7431,$26.40 ,$33.00 
29,ANC,ROOF,7434,$22.40 ,$28.00 
30,ANC,ROOF,7444,$6.80 ,$8.50 
31,ANC,ROOF,7493A,$44.40 ,$55.50 
32,ANC,ROOF,7493B1,$39.20 ,$49.00 
33,ANC,Spec,7460A,$344.40 ,$430.50 
34,ANC,Spec,7465A,$344.00 ,$430.00 
35,ANC,STEEL,7414,$24.00 ,$30.00 
36,ANC,STEEL,7427,$40.80 ,$51.00 
37,ANC,STEEL,7428,$42.40 ,$53.00 
38,ANC,STEEL,7438,$41.60 ,$52.00 
39,ANC,STEEL,742808,$44.40 ,$55.50 
40,ANC,STEEL,7414P,$22.40 ,$28.00 
41,ANC,STEEL,84202D,$51.60 ,$64.50 
42,ANC,STEEL,84202DC,$52.40 ,$65.50 
43,ANC,STEEL,84202DC4,$50.80 ,$63.50 
44,Devices,Con Sp,7281,"$1,415.60 ","$1,769.50 "
45,Devices,Con Sp,7297,$536.80 ,$671.00 
46,Devices,Con Sp,7500,"$2,847.60 ","$3,559.50 "
47,Devices,Con Sp,7505,"$2,045.60 ","$2,557.00 "
48,Devices,Con Sp,7507,"$1,554.00 ","$1,942.50 "
49,Devices,Con Sp,7508,"$2,305.60 ","$2,882.00 "
50,Devices,Con Sp,7509,"$2,772.80 ","$3,466.00 "
51,EAL,ETEC,8240,$48.40 ,$60.50 
52,EAL,ETEC,82403,$62.40 ,$78.00 
53,EAL,ETEC,8240Y,$68.80 ,$86.00 
54,EAL,ETEC,8240Y3,$91.60 ,$114.50 
55,EAL,ETEC,8240Y3A,$134.80 ,$168.50 
56,EAL,FLSH,8242AF,$138.00 ,$172.50 
57,EAL,FLSH,8242L,$126.00 ,$157.50 
58,EAL,INT,8259,$35.20 ,$44.00 
59,EAL,INT,82593,$52.00 ,$65.00 
60,EAL,INT,8259Y,$52.80 ,$66.00 
61,EAL,INT,8259Y3,$77.20 ,$96.50 
62,EAL,LT,8256LT,$40.00 ,$50.00 
63,EAL,LT,8256LTY3,$78.00 ,$97.50 
64,EAL,Spec,8246,$54.00 ,$67.50 
65,EAL,Spec,8241Y,$94.00 ,$117.50 
66,EAL,Spec,8246Y3,$105.60 ,$132.00 
67,EAL,VP,8253,$39.20 ,$49.00 
68,EAL,VP,8256,$40.80 ,$51.00 
69,EAL,VP,82563,$57.20 ,$71.50 
70,EAL,VP,82608,$55.60 ,$69.50 
71,EAL,VP,826073,$74.00 ,$92.50 
72,EAL,VP,8256ELY3,$91.20 ,$114.00 
73,EAL,VP,8260732D,$94.40 ,$118.00 
74,EAL,VP,826082D,$74.80 ,$93.50 
75,FBH,CONP,7015B,$54.40 ,$68.00 
76,FBH,CONP,7015BX/2X,$55.20 ,$69.00 
77,FBH,CONP,7016B,$56.80 ,$71.00 
78,FBH,CONP,7016BX/2X,$57.60 ,$72.00 
79,FBH,CONP,7017B,$62.80 ,$78.50 
80,FBH,CONP,7017BX/2X,$63.60 ,$79.50 
81,FBH,CONP,7018B,$71.20 ,$89.00 
82,FBH,CONP,7018BX/2X,$72.00 ,$90.00 
83,FBH,CONP,7073B2X,$83.60 ,$104.50 
84,FBH,CONP,7073BLX,$82.80 ,$103.50 
85,FBH,CONP,7073BSM,$82.80 ,$103.50 
86,FBH,CONP,7074BLX,$84.40 ,$105.50 
87,FBH,CONP,7074BSM,$84.40 ,$105.50 
88,FBH,CONT,7015,$36.00 ,$45.00 
89,FBH,CONT,7016,$38.40 ,$48.00 
90,FBH,CONT,7017,$42.40 ,$53.00 
91,FBH,CONT,7018,$49.60 ,$62.00 
92,FBH,CONT,7015XL,$36.80 ,$46.00 
93,FBH,CONT,70163X,$40.00 ,$50.00 
94,FBH,CONT,7016QC,$50.40 ,$63.00 
95,FBH,CONT,7016X/2X,$38.40 ,$48.00 
96,FBH,CONT,7017XL,$44.00 ,$55.00 
97,FBH,CONT,7018XL,$51.20 ,$64.00 
98,FBH,CONT,70732X,$80.40 ,$100.50 
99,FBH,CONT,7073LX,$79.60 ,$99.50 
100,FBH,CONT,7073SM,$79.60 ,$99.50 
101,FBH,CTCG,7080B2X,$240.00 ,$300.00 
102,FBH,CTCG,7080BL,$238.80 ,$298.50 
103,FBH,CTCG,7080BM,$238.80 ,$298.50 
104,FBH,CTCG,7080BXL,$238.80 ,$298.50 
105,FBH,CTCG,7081B2X,$304.80 ,$381.00 
106,FBH,CTCG,7081BL,$304.00 ,$380.00 
107,FBH,CTCG,7081BM,$304.00 ,$380.00 
108,FBH,CTCG,7081BS,$304.00 ,$380.00 
109,FBH,CTCG,7081BXL,$304.00 ,$380.00 
110,FBH,CTCG,7082B2X,$248.00 ,$310.00 
111,FBH,CTCG,7082BL,$247.20 ,$309.00 
112,FBH,CTCG,7082BM,$247.20 ,$309.00 
113,FBH,CTCG,7082BXL,$247.20 ,$309.00 
114,FBH,CTCG,7083B2X,$314.80 ,$393.50 
115,FBH,CTCG,7083BL,$314.00 ,$392.50 
116,FBH,CTCG,7083BM,$314.00 ,$392.50 
117,FBH,CTCG,7083BXL,$314.00 ,$392.50 
118,FBH,FLSH,7047,$283.20 ,$354.00 
119,FBH,FLSH,7051,$132.80 ,$166.00 
120,FBH,FLSH,7047XL,$286.80 ,$358.50 
121,FBH,FTB,7007,$30.40 ,$38.00 
122,FBH,FTB,7007XL,$31.20 ,$39.00 
123,FBH,IRON,8141SM,$153.60 ,$192.00 
124,FBH,IRON,8141LXL,$153.60 ,$192.00 
125,FBH,IRON,8143SM,$152.00 ,$190.00 
126,FBH,IRON,8143LXL,$152.00 ,$190.00 
127,FBH,JMNA,7021B,$164.80 ,$206.00 
128,FBH,JMNA,7021BQC,$176.40 ,$220.50 
129,FBH,JMNA,7021BQCXL,$176.40 ,$220.50 
130,FBH,JMNA,7021BXL,$164.80 ,$206.00 
131,FBH,JMNA,7035B2X,$223.20 ,$279.00 
132,FBH,JMNA,7035BL,$222.40 ,$278.00 
